contrast_0deg,contrast_45deg,contrast_90deg,contrast_135deg,dissimilarity_0deg,dissimilarity_45deg,dissimilarity_90deg,dissimilarity_135deg,homogeneity_0deg,homogeneity_45deg,homogeneity_90deg,homogeneity_135deg,energy_0deg,energy_45deg,energy_90deg,energy_135deg,correlation_0deg,correlation_45deg,correlation_90deg,correlation_135deg,R_mean,G_mean,B_mean,R_std,G_std,B_std,H_mean,S_mean,V_mean,H_std,S_std,V_std,HuMoment_1,HuMoment_2,HuMoment_3,HuMoment_4,HuMoment_5,HuMoment_6,HuMoment_7,Class
4357.493253525616,4779.929055481831,4585.730261052919,4768.661042853375,43.290779148003764,45.76898791450206,44.56294042282851,45.77021456293668,0.2862176451801849,0.28467956019989377,0.2866164208643863,0.28428773224249226,0.22416251660727243,0.22459750650566013,0.2253771148270694,0.2246118599545883,0.5657448444325017,0.5237161103679109,0.5431381497244316,0.5248324424705543,46.562280771683675,80.73626833545919,64.16055484693878,56.90843576165116,75.84021375851161,67.78420018826469,37.300422512755105,118.13227439413265,81.01648198341837,26.87247979664596,91.89804535076627,75.75992551450088,0.0019488687683634825,4.919387853438605e-07,5.373135268561894e-10,1.4210434276184595e-10,3.7696309127441386e-20,-1.0172784592504994e-14,1.099388989651495e-20,Padat
4351.208960604381,4708.06428844444,4587.723074153521,4710.40766957018,43.13140614992549,45.18001568501832,44.533291960304574,45.3528323513498,0.2917751061694862,0.28929320029999234,0.29124883855696415,0.2876880954964522,0.22927479945906248,0.2276812607226864,0.22927755120928964,0.2271894238472274,0.564075824993644,0.5283784235281729,0.5403562591513122,0.5281434897299054,46.22576530612245,79.79850924744898,63.08157286352041,56.9100174863372,75.67795109896025,67.4409580810761,38.08685427295919,119.30705915178571,80.1024394132653,27.644567061752376,92.34598601565607,75.56372716238974,0.001963786433050083,5.058746542861513e-07,5.094301410268725e-10,1.3242575292406844e-10,3.144660518837536e-20,-1.8673500413527922e-14,1.3934058896443408e-20,Padat
4612.461643179771,5080.317259547917,4833.724015056877,5078.173480264195,45.272621716871406,48.02696615657421,46.64610025626848,48.13422751312682,0.24966574323810872,0.24453344903328328,0.24643041650778716,0.24491926574319176,0.1760943819267073,0.17462989102825605,0.17587910203369217,0.1743728222407639,0.5353341406557782,0.488279269324175,0.5129887425883971,0.4884996223857521,47.73407605229592,82.59026227678571,66.896484375,56.97877579238917,75.03985351661771,68.12059647170442,39.69624920280612,130.27907764668367,83.06058673469387,27.680203557187788,91.25735955824841,74.93203896528549,0.0017804727996728813,2.460276005897464e-07,3.209257075595968e-10,1.9719771334152334e-11,1.4764279491550528e-21,-5.6152658723114904e-15,-5.30237787241952e-22,Padat
5767.495235428209,6098.354963904171,6036.630865633349,6395.860061533332,60.3090166560149,62.300951155268166,61.87353859707908,64.24293671701156,0.027686394567875132,0.02670445286883538,0.026415350996441895,0.025715653519308945,0.007905487722870842,0.007711385004725764,0.007925891497931123,0.007712289511431798,0.19403560960227126,0.14850488270435552,0.15862417463326625,0.10692419481709493,79.81222098214286,130.09030213647958,111.4399713010204,56.25419073570664,60.66788764165381,60.64888073629541,41.4736328125,124.90459582270408,130.38962850765307,9.241348680505928,63.578928113424965,60.577946111268155,0.0013940218295544256,4.704202344458734e-10,7.348562208874386e-12,9.19291411565148e-15,-6.531050803443201e-28,-1.4721734171877673e-19,-2.2983644750624235e-27,Padat
4469.846532673546,4920.63242775958,4760.815222616141,4912.044581633622,44.1205557335263,46.918860222410956,45.81894618836394,46.71284361238474,0.2602535901910495,0.2556442643128096,0.2578393758495826,0.2566636107487596,0.18270122915950224,0.1804579472400894,0.18257305575610025,0.18097918886216235,0.551562408979267,0.5064707819933635,0.5223376833646978,0.5073331343755654,46.43056441326531,81.50458386479592,66.06269929846938,56.52538317471297,75.34594388075766,68.25848750616436,39.388891103316325,131.3085339604592,82.03148915816327,28.446123302851476,92.0308538748012,75.25309022115201,0.0017976008621285932,2.636704729587821e-07,3.071994569548936e-10,2.1429320200416963e-11,1.4075370766380263e-21,-8.53680326829351e-15,-1.020730835151528e-21,Padat
4363.957399105338,4835.519053269854,4749.118353621886,4828.947213900523,43.18169442667173,46.070200486643195,45.36362908394423,45.97876490579544,0.2695841545843354,0.26469248526085404,0.267702546422895,0.2677640578405849,0.1921413592014857,0.190493659522032,0.19189290765692193,0.19157441864532157,0.5595149180897858,0.512105759214824,0.5206506166314249,0.5127563312686204,45.362523915816325,79.7744140625,64.63161670918367,56.185366723646545,75.15928949695845,68.0075284937135,38.770527742346935,130.0829081632653,80.27437420280613,28.386771394211685,92.85684356730772,75.08003511400081,0.00180664900553069,2.8600517709847836e-07,3.0846164116446904e-10,1.8619137803245895e-11,1.141392318598926e-21,-7.948900335929106e-15,-8.296161871892786e-22,Padat
4401.624199233475,4879.332723361748,4701.852518420053,4852.345030064097,43.5385570147557,46.39612700839071,45.26403347215605,46.137344406689564,0.267154313712629,0.2625155970817848,0.2650162699535426,0.264347568783846,0.18917169981041923,0.18717908244442943,0.1891138159623222,0.18786003557354983,0.5593137366144907,0.5116020873400304,0.5292094516546348,0.5143006203782209,45.98349808673469,80.55590322066327,65.00458386479592,56.46127738334103,75.48992158131419,68.24709542882856,38.929906728316325,129.6647401147959,81.0741191007653,28.266086912817986,92.537268659306,75.42144601051373,0.00180399122243472,2.895504913948514e-07,2.744335313364606e-10,2.0031855555443344e-11,1.2487810934179209e-21,-8.217373030488295e-15,-8.040655624344981e-22,Padat
4401.624199233475,4879.332723361748,4701.852518420053,4852.345030064097,43.5385570147557,46.39612700839071,45.26403347215605,46.137344406689564,0.267154313712629,0.2625155970817848,0.2650162699535426,0.264347568783846,0.18917169981041923,0.18717908244442943,0.1891138159623222,0.18786003557354983,0.5593137366144907,0.5116020873400304,0.5292094516546348,0.5143006203782209,45.98349808673469,80.55590322066327,65.00458386479592,56.46127738334103,75.48992158131419,68.24709542882856,38.929906728316325,129.6647401147959,81.0741191007653,28.266086912817986,92.537268659306,75.42144601051373,0.00180399122243472,2.895504913948514e-07,2.744335313364606e-10,2.0031855555443344e-11,1.2487810934179209e-21,-8.217373030488295e-15,-8.040655624344981e-22,Padat
4401.624199233475,4879.332723361748,4701.852518420053,4852.345030064097,43.5385570147557,46.39612700839071,45.26403347215605,46.137344406689564,0.267154313712629,0.2625155970817848,0.2650162699535426,0.264347568783846,0.18917169981041923,0.18717908244442943,0.1891138159623222,0.18786003557354983,0.5593137366144907,0.5116020873400304,0.5292094516546348,0.5143006203782209,45.98349808673469,80.55590322066327,65.00458386479592,56.46127738334103,75.48992158131419,68.24709542882856,38.929906728316325,129.6647401147959,81.0741191007653,28.266086912817986,92.537268659306,75.42144601051373,0.00180399122243472,2.895504913948514e-07,2.744335313364606e-10,2.0031855555443344e-11,1.2487810934179209e-21,-8.217373030488295e-15,-8.040655624344981e-22,Padat
3477.8141615962218,3662.8309638238497,2960.671905029756,3786.4564338715327,44.502542440753764,46.08379416437568,39.85003603460287,47.27631764162237,0.034875302022589726,0.031995559935391195,0.042663077614965315,0.03006941045672303,0.0072512002427126635,0.007128417401172397,0.007523737938411157,0.007064697995478399,0.346693610076841,0.3118432679542264,0.4432269179211923,0.2886051936848811,86.50583944515306,136.35082509566325,113.72205835459184,47.70421709643116,53.30376798873482,51.095386064468165,43.340262276785715,107.64291693239795,136.55578364158163,8.327758195568743,50.2652885553374,53.16644201817145,0.001335434412193505,3.2832354368307194e-10,1.0644540110270795e-11,5.524495037995685e-13,-1.1834556087041799e-24,-9.233432877527255e-18,-6.278421240928952e-25,Padat
